,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
182,W4TER56,CDMD,"['raze', 'phoenix', 'reyna']",454,0.90,185.4,0.85,69%,120.2,0.63,0.26,0.10,0.11,27%,8%
183,downtail,MCOM,"['kayo', 'sova', 'skye']",317,0.90,197.1,0.84,67%,130.0,0.65,0.27,0.09,0.13,22%,16%
184,Pink,DVN,"['raze', 'jett', 'iso']",292,0.90,203.5,0.86,64%,135.7,0.68,0.17,0.11,0.12,29%,11%
185,andr,(+5),"['raze', 'phoenix', 'omen']",296,0.90,183.2,0.88,62%,124.9,0.66,0.20,0.10,0.11,27%,9%
186,Marsh,CD,"['astra', 'cypher', 'killjoy']",1091,0.89,187.9,0.86,70%,122.8,0.64,0.22,0.08,0.09,20%,13%
187,AMNESTY,RNP,"['sova', 'skye', 'astra']",1807,0.89,181.7,0.84,68%,120.6,0.63,0.28,0.07,0.09,28%,12%
188,wodz,(+8),"['chamber', 'brimstone', 'jett']",480,0.89,196.6,0.85,68%,132.0,0.67,0.29,0.08,0.14,25%,7%
189,silv,Papa,"['omen', 'astra', 'brimstone']",404,0.89,185.8,0.88,69%,125.6,0.65,0.31,0.10,0.10,33%,14%
190,firmz,VRTX,"['jett', 'sage', 'cypher']",454,0.89,203.3,0.85,65%,135.0,0.70,0.17,0.18,0.17,27%,6%
191,abbas,ACU,"['neon', 'reyna', 'jett']",298,0.89,200.7,0.86,65%,135.6,0.68,0.28,0.13,0.18,27%,6%
192,Cyro,FURY,"['killjoy', 'cypher', 'vyse']",306,0.88,204.7,0.81,64%,139.8,0.67,0.25,0.10,0.09,24%,11%
193,GUNMA,(+7),"['cypher', 'raze', 'viper']",274,0.88,179.9,0.84,66%,118.4,0.64,0.27,0.08,0.12,23%,7%
194,Sorrow,Didd,"['killjoy', 'sage', 'viper']",474,0.88,179.0,0.82,65%,122.8,0.64,0.26,0.06,0.10,38%,10%
195,SplatGun,BITE,"['gekko', 'sova', 'phoenix']",374,0.88,172.4,0.82,65%,109.9,0.62,0.27,0.04,0.10,30%,10%
196,1ukey,Mc,"['cypher', 'phoenix', 'killjoy']",747,0.88,185.6,0.88,64%,118.2,0.65,0.16,0.05,0.07,22%,16%
197,rurlz,KZ,"['brimstone', 'sage', 'astra']",889,0.88,175.6,0.83,66%,114.2,0.62,0.28,0.05,0.09,26%,11%
198,anna,(+2),"['jett', 'raze', 'yoru']",393,0.88,191.9,0.85,66%,112.7,0.65,0.24,0.06,0.17,23%,8%
199,ubud,ARMR,"['cypher', 'iso', 'viper']",427,0.88,205.9,0.85,61%,133.0,0.71,0.23,0.12,0.14,29%,9%
200,daiK,FC,"['phoenix', 'jett', 'breach']",1997,0.88,202.9,0.84,66%,133.7,0.67,0.26,0.11,0.14,16%,18%
201,Avi,Slic,"['brimstone', 'kayo', 'raze']",397,0.88,171.0,0.80,69%,114.2,0.59,0.31,0.05,0.09,24%,10%
202,COCOYEAHNAH,(+1),"['breach', 'kayo', 'brimstone']",206,0.87,172.3,0.77,62%,114.6,0.60,0.35,0.04,0.05,21%,17%
203,elemeNt,trun,"['sova', 'omen', 'viper']",265,0.87,170.8,0.83,65%,114.8,0.61,0.29,0.05,0.07,28%,12%
204,Lychii,TTS,"['fade', 'sova', 'omen']",753,0.87,172.9,0.75,67%,114.8,0.58,0.37,0.05,0.08,20%,6%
205,philly,BFG,"['omen', 'brimstone', 'kayo']",359,0.87,173.1,0.81,67%,106.2,0.60,0.37,0.08,0.07,25%,7%
