,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
225,soull,aldo,"['breach', 'skye', 'yoru']",640,0.87,193.0,0.82,65%,129.5,0.68,0.31,0.10,0.16,27%,22%
226,kn1fed,Mustang,"['phoenix', 'raze', 'sage']",317,0.87,206.2,0.87,62%,142.3,0.69,0.19,0.10,0.15,24%,13%
227,Black,RAF,"['omen', 'viper', 'brimstone']",1392,0.87,173.1,0.81,66%,115.1,0.61,0.30,0.06,0.08,31%,16%
228,Shehab,GK,"['omen', 'brimstone', 'astra']",1229,0.87,176.8,0.88,68%,118.1,0.63,0.29,0.05,0.06,22%,13%
229,Jem,FLCV,"['viper', 'astra', 'fade']",404,0.87,178.8,0.81,67%,120.5,0.61,0.27,0.08,0.07,27%,12%
230,pa1ka,KPI,"['phoenix', 'jett', 'chamber']",257,0.87,206.3,0.92,60%,134.8,0.70,0.18,0.18,0.21,33%,7%
231,Overflow,WLS,"['sova', 'sage', 'kayo']",695,0.87,181.7,0.78,66%,122.3,0.61,0.25,0.05,0.08,26%,12%
232,CabboSM,OXR,"['sova', 'skye', 'kayo']",768,0.87,178.6,0.79,70%,122.5,0.59,0.30,0.07,0.07,25%,7%
233,pashapain666,SKUL,"['omen', 'viper', 'astra']",278,0.87,176.2,0.80,67%,115.8,0.62,0.27,0.07,0.08,33%,20%
234,Joudaa,GMX.L,"['brimstone', 'omen', 'viper']",455,0.87,178.7,0.83,66%,114.5,0.65,0.30,0.07,0.11,29%,14%
235,T4C,Curs,"['breach', 'kayo', 'sage']",224,0.87,164.7,0.80,71%,104.1,0.57,0.49,0.04,0.09,19%,24%
236,Nirvana,R8.B,"['raze', 'neon', 'jett']",1328,0.87,205.4,0.88,64%,138.9,0.71,0.22,0.16,0.18,22%,15%
237,4FuNNie2k,BJE,"['reyna', 'killjoy', 'omen']",418,0.87,202.1,0.87,57%,131.4,0.71,0.14,0.13,0.12,25%,11%
238,M7MD,SCY,"['jett', 'raze', 'skye']",736,0.87,200.6,0.85,62%,132.6,0.70,0.15,0.15,0.18,28%,11%
239,Tmy,aldo,"['omen', 'brimstone', 'viper']",2111,0.87,184.0,0.85,62%,124.4,0.64,0.20,0.09,0.11,23%,10%
240,Ninjas,YN,"['jett', 'skye', 'kayo']",3060,0.87,171.1,0.81,66%,114.7,0.60,0.30,0.07,0.10,30%,13%
241,kZ.~,ORA,['sova'],200,0.86,208.7,0.79,66%,141.1,0.66,0.24,0.12,0.13,34%,13%
242,Maher,(+5),"['raze', 'sova', 'cypher']",583,0.86,172.4,0.79,59%,114.0,0.63,0.17,0.06,0.07,28%,8%
243,Rexus,NASR,"['killjoy', 'brimstone', 'astra']",1108,0.86,183.5,0.85,64%,121.5,0.64,0.19,0.07,0.08,29%,15%
