key ,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
1502,amp,Left,"{'raze', 'sova', 'killjoy'}",473,1.05,213.4,0.98,64,132.7,0.72,0.22,0.12,0.11,19,14
1503,shooterR,PHX,"{'jett', 'raze', 'reyna'}",575,1.05,221.3,1.12,66,144.7,0.82,0.12,0.17,0.15,33,13
1504,memset,SLY,"{'killjoy', 'omen', 'reyna'}",2587,1.05,211.8,1.12,70,140.7,0.76,0.17,0.10,0.09,32,15
1505,baddyG,MKOI,"{'raze', 'sage', 'phoenix'}",5756,1.05,209.5,1.05,73,136.2,0.72,0.36,0.10,0.09,25,16
1506,Sweet,QM,"{'sage', 'sova', 'skye'}",317,1.05,215.1,1.00,70,140.4,0.75,0.28,0.10,0.08,33,8
1507,narky,poo,"{'jett', 'raze', 'yoru'}",225,1.05,230.5,1.04,69,145.7,0.81,0.14,0.24,0.17,37,11
1508,Darkin,AS07,"{'jett', 'neon', 'yoru'}",249,1.05,232.8,1.08,67,156.7,0.84,0.11,0.15,0.14,29,5
1509,eXampL,DIV,"{'killjoy', 'sova', 'skye'}",2866,1.05,192.9,0.98,72,131.2,0.67,0.38,0.06,0.06,27,14
1510,Penab,EK,"{'killjoy', 'sova', 'omen'}",486,1.05,199.7,1.01,67,128.2,0.71,0.28,0.06,0.07,31,16
1511,Lyda,HERO,"{'jett', 'viper', 'raze'}",4974,1.05,209.2,1.05,72,138.6,0.75,0.24,0.11,0.09,26,14
1512,azury,SGE,"{'breach', 'sage', 'viper'}",4084,1.05,196.7,1.07,71,129.2,0.71,0.24,0.07,0.08,28,16
1513,blxssom,(+3),"{'gekko', 'sova', 'skye'}",296,1.05,189.2,1.05,66,123.4,0.68,0.26,0.06,0.06,13,19
1514,al1en,CTLS,"{'killjoy', 'viper', 'omen'}",2135,1.05,202.4,1.05,75,129.5,0.71,0.37,0.08,0.07,20,15
1515,Yurii,CASE,"{'sage', 'breach', 'kayo'}",4165,1.05,197.9,1.05,74,125.4,0.71,0.34,0.07,0.07,21,14
1516,Stazioo,(+1),"{'killjoy', 'cypher', 'skye'}",400,1.05,200.0,1.01,69,128.3,0.74,0.16,0.08,0.08,28,16
1517,Mistic,FKS,"{'sage', 'omen', 'brimstone'}",8285,1.05,191.3,1.06,74,124.1,0.69,0.34,0.07,0.06,29,15
1518,scÂtro,(+3),"{'astra', 'cypher', 'viper'}",207,1.05,200.4,0.88,66,139.8,0.67,0.26,0.05,0.03,23,11
1519,Katu,UCAM,"{'sage', 'breach', 'raze'}",5936,1.04,212.0,1.03,70,140.6,0.74,0.26,0.12,0.11,32,13
1520,musashi,SGE,"{'jett', 'sova', 'raze'}",6758,1.04,216.3,1.07,71,139.1,0.76,0.27,0.12,0.12,27,13
1521,Filu,MKOI,"{'raze', 'cypher', 'jett'}",4289,1.04,228.9,1.07,69,147.2,0.80,0.21,0.17,0.15,28,17
1522,szimpli,PXL,"{'raze', 'reyna', 'sage'}",3804,1.04,230.9,1.06,70,150.7,0.81,0.18,0.16,0.15,26,13
1523,Addi,FMG.GC,"{'harbor', 'killjoy', 'sova'}",2325,1.04,230.0,1.05,69,144.5,0.81,0.24,0.14,0.13,27,12
