,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
666,ENTRIL,(+1),"['cypher', 'sova', 'sage']",306,0.98,194.1,0.99,70%,126.7,0.69,0.22,0.06,0.07,31%,16%
667,Archfiend,GAL,"['fade', 'sova', 'kayo']",584,0.98,193.9,0.90,68%,130.9,0.66,0.27,0.07,0.06,25%,9%
668,sibeastw0w,QAD,"['jett', 'raze']",346,0.98,240.8,0.98,68%,148.7,0.81,0.18,0.18,0.14,25%,3%
669,MOJJ,GAL,"['sage', 'reyna', 'raze']",6400,0.98,197.7,1.01,70%,132.5,0.69,0.23,0.09,0.08,29%,16%
670,DEPEX,(+2),"['jett', 'killjoy', 'phoenix']",552,0.98,201.5,1.01,66%,132.4,0.75,0.12,0.11,0.12,27%,7%
671,MaximN,FMG,"['chamber', 'raze', 'viper']",2117,0.98,185.7,0.92,71%,124.1,0.64,0.36,0.06,0.07,22%,13%
672,bellatr1x,(+6),"['reyna', 'harbor', 'astra']",1117,0.98,206.9,0.98,68%,135.8,0.73,0.27,0.11,0.12,43%,14%
673,Yacine,GLD,"['jett', 'raze', 'killjoy']",4175,0.98,238.3,0.99,70%,151.2,0.77,0.25,0.19,0.18,20%,14%
674,NOKOCU,ANM,"['jett', 'reyna', 'skye']",1984,0.98,209.9,0.96,68%,135.6,0.73,0.19,0.13,0.13,26%,14%
675,Cem,GJ,"['omen', 'viper', 'sova']",467,0.98,202.9,0.90,66%,126.6,0.69,0.30,0.08,0.09,24%,12%
676,Fragger,FLK,"['astra', 'omen', 'sage']",2827,0.98,192.7,0.94,72%,124.9,0.68,0.41,0.07,0.08,29%,14%
677,Wasp,EF,"['sova', 'jett', 'sage']",1041,0.98,193.1,0.95,68%,126.3,0.68,0.27,0.09,0.09,35%,19%
678,fvrioza,287,"['viper', 'omen', 'astra']",287,0.98,191.5,0.96,75%,128.5,0.66,0.43,0.04,0.07,28%,7%
679,Nidxvilco,GMX.L,"['omen', 'neon', 'astra']",1403,0.98,181.9,0.94,71%,119.8,0.65,0.34,0.06,0.08,26%,17%
680,mista,CTL,"['kayo', 'breach', 'brimstone']",326,0.98,197.0,0.91,75%,128.8,0.67,0.40,0.08,0.06,37%,13%
681,CALVIN,S,"['sova', 'raze', 'sage']",2338,0.98,191.2,0.91,68%,128.8,0.67,0.30,0.07,0.07,29%,12%
682,trace102k,SES,"['cypher', 'killjoy', 'viper']",1401,0.98,194.7,0.94,67%,125.0,0.67,0.22,0.07,0.09,18%,8%
683,Deqadz,TSE,"['omen', 'brimstone', 'viper']",1435,0.98,193.9,0.96,73%,124.9,0.68,0.37,0.09,0.10,20%,15%
684,APO,SLY,"['cypher', 'sova', 'killjoy']",2819,0.98,185.6,0.96,69%,123.6,0.66,0.23,0.07,0.07,29%,15%
685,Pitou,F9,"['brimstone', 'viper', 'sage']",485,0.98,229.5,0.97,67%,150.4,0.80,0.20,0.18,0.18,25%,10%
686,blitzeN,3D,"['jett', 'sage', 'cypher']",1616,0.97,201.4,1.02,67%,129.2,0.74,0.19,0.10,0.10,33%,12%
687,OYKU,NIP.LI,"['viper', 'omen', 'astra']",2333,0.97,188.7,0.94,71%,123.7,0.66,0.27,0.06,0.08,20%,12%
688,keloqz,MDR,"['raze', 'jett', 'sage']",4975,0.97,217.3,1.03,67%,136.8,0.77,0.14,0.18,0.16,28%,11%
689,Mistiare,EG,"['omen', 'viper', 'skye']",271,0.97,193.1,0.92,68%,123.1,0.69,0.24,0.06,0.07,20%,11%
690,demo,TOA,"['sage', 'cypher', 'killjoy']",649,0.97,185.0,0.87,71%,121.7,0.63,0.30,0.06,0.07,23%,15%
691,Luc1d,UOL,"['jett', 'raze', 'omen']",2493,0.97,201.2,0.98,68%,130.4,0.72,0.17,0.13,0.13,29%,10%
692,oli,LLH,"['astra', 'chamber', 'viper']",1337,0.97,197.3,0.93,67%,133.9,0.70,0.20,0.07,0.07,27%,13%
693,KhA,GN,"['sage', 'killjoy', 'viper']",1779,0.97,179.1,0.93,70%,117.7,0.65,0.27,0.05,0.07,24%,12%
694,NyaRu,DIV,"['reyna', 'jett', 'skye']",805,0.97,214.2,1.01,68%,141.1,0.77,0.14,0.16,0.17,28%,16%
695,Incredible,ING,"['cypher', 'astra', 'killjoy']",2322,0.97,184.7,0.92,72%,120.3,0.64,0.34,0.07,0.09,18%,18%
696,Sacake,HGE,"['sova', 'skye', 'breach']",4928,0.97,194.6,0.91,71%,130.4,0.64,0.38,0.07,0.08,24%,14%
697,sturNN,MISA,"['omen', 'cypher', 'killjoy']",3722,0.97,192.4,0.95,69%,126.9,0.69,0.22,0.07,0.08,27%,12%
698,nysHAA,SSP,"['omen', 'breach', 'astra']",811,0.97,181.6,0.92,70%,120.1,0.64,0.33,0.05,0.06,36%,13%
699,silenttt,ELV,"['reyna', 'sova', 'sage']",2959,0.97,189.6,0.95,70%,126.3,0.67,0.23,0.08,0.08,28%,12%
700,ShonP,NOM,"['sage', 'breach', 'sova']",2348,0.97,200.8,0.92,69%,135.4,0.67,0.32,0.08,0.08,25%,14%
