,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
88,kirei,MFC,"['raze', 'sage', 'reyna']",3015,1.08,205.9,1.06,72%,133.3,0.74,0.27,0.08,0.06,23%,11%
89,welyy,SAD,"['sova', 'skye', 'sage']",8908,1.08,198.2,1.02,73%,133.3,0.67,0.36,0.07,0.06,26%,15%
90,OXY,C9,"['jett', 'raze', 'neon']",6822,1.08,247.4,1.12,70%,157.4,0.87,0.17,0.19,0.16,27%,14%
91,runi,C9,"['sova', 'breach', 'fade']",6841,1.08,202.8,1.03,74%,136.3,0.70,0.37,0.07,0.05,26%,13%
92,zeldris,Team,"['raze', 'killjoy', 'cypher']",8112,1.08,234.9,1.14,69%,150.1,0.83,0.16,0.18,0.16,24%,14%
93,Notexxd,UST,"['omen', 'viper', 'brimstone']",5573,1.08,221.2,1.07,74%,144.8,0.78,0.34,0.10,0.09,32%,19%
94,ducq,Alli,"['killjoy', 'sage', 'sova']",2196,1.08,203.8,1.07,72%,136.2,0.72,0.27,0.06,0.07,30%,12%
95,Warmest,Aloha,"['reyna', 'killjoy', 'cypher']",450,1.08,221.3,1.09,70%,143.3,0.78,0.23,0.08,0.08,21%,18%
96,Katarina,DSG,"['jett', 'astra', 'phoenix']",2735,1.08,236.5,1.10,71%,152.9,0.82,0.18,0.16,0.12,21%,16%
97,cuteasa,YDZ.GC,"['yoru', 'reyna', 'deadlock']",644,1.07,219.5,1.07,71%,140.4,0.79,0.20,0.09,0.07,23%,16%
98,Ali,WU,"['phoenix', 'sage', 'cypher']",9631,1.07,213.3,1.06,73%,138.8,0.74,0.35,0.11,0.10,27%,17%
99,mada,NRG,"['sova', 'phoenix', 'viper']",10276,1.07,230.0,1.09,72%,148.7,0.79,0.25,0.17,0.16,24%,14%
100,Rickdad,200,"['omen', 'sova', 'sage']",200,1.07,194.0,0.88,75%,128.0,0.65,0.31,0.04,0.04,29%,14%
101,zander,100T,"['cypher', 'killjoy', 'sage']",8379,1.07,205.2,1.06,75%,131.0,0.72,0.37,0.09,0.09,25%,19%
102,bones,PLUG,"['reyna', 'phoenix', 'raze']",8753,1.07,221.1,1.09,74%,142.1,0.77,0.30,0.12,0.10,24%,16%
103,seven,TSM,"['jett', 'phoenix', 'reyna']",9420,1.07,219.7,1.09,73%,140.5,0.76,0.26,0.12,0.11,22%,17%
104,sarahcat,SRG,"['sova', 'breach', 'kayo']",7379,1.07,220.8,1.09,74%,143.9,0.76,0.32,0.11,0.10,28%,17%
105,Genghsta,DSG,"['sova', 'phoenix', 'cypher']",7275,1.07,199.5,1.04,75%,135.6,0.68,0.34,0.06,0.05,26%,13%
106,Aethen,LYE,"['omen', 'cypher', 'killjoy']",531,1.07,210.0,0.99,70%,138.7,0.73,0.24,0.06,0.05,28%,17%
107,caydia,MAK,"['viper', 'cypher', 'killjoy']",2888,1.07,212.9,1.05,71%,139.0,0.74,0.30,0.08,0.08,20%,13%
108,Smrty,(+4),"['raze', 'sova', 'killjoy']",528,1.07,230.3,1.02,70%,154.3,0.76,0.28,0.12,0.15,17%,21%
109,Pa1nt,SRB,"['raze', 'jett', 'neon']",7690,1.07,244.7,1.11,70%,157.2,0.85,0.20,0.20,0.18,26%,15%
110,Jackk,ROSE,"['yoru', 'raze', 'cypher']",3019,1.07,196.5,1.03,72%,132.6,0.70,0.31,0.06,0.06,30%,16%
111,Logan,QOR,"['cypher', 'chamber', 'sova']",10972,1.07,215.6,1.08,72%,142.6,0.75,0.26,0.12,0.10,23%,14%
112,vita,Dyna,"['jett', 'gekko', 'skye']",3298,1.07,240.0,1.08,71%,154.5,0.85,0.23,0.18,0.15,32%,15%
113,VYX,CUR,"['astra', 'viper', 'jett']",5240,1.07,194.5,1.06,75%,129.2,0.69,0.36,0.06,0.07,28%,11%
114,poiz,C9A,"['jett', 'phoenix', 'reyna']",2625,1.07,221.7,1.11,71%,140.7,0.79,0.20,0.13,0.12,26%,22%
115,Sayaplayer,RC,"['jett', 'raze', 'chamber']",2139,1.07,227.0,1.14,71%,146.8,0.80,0.15,0.18,0.14,26%,13%
116,Core,IluZ,"['jett', 'brimstone', 'reyna']",4144,1.07,213.1,1.03,73%,142.2,0.75,0.38,0.08,0.08,27%,15%
117,penny,APK,"['jett', 'raze', 'reyna']",7835,1.07,227.2,1.12,72%,144.7,0.79,0.23,0.15,0.14,21%,15%
118,yearn,Team,"['omen', 'astra', 'killjoy']",2225,1.07,204.6,1.12,70%,137.8,0.74,0.20,0.09,0.08,35%,15%
119,alym,QOR,"['jett', 'reyna', 'iso']",3080,1.07,245.5,1.13,69%,156.8,0.85,0.20,0.21,0.19,29%,16%
120,Shadowz,EVX,"['iso', 'raze', 'deadlock']",1344,1.07,228.8,1.07,71%,149.0,0.81,0.30,0.09,0.08,32%,13%
121,haram,229,"['sova', 'fade', 'breach']",229,1.07,207.5,1.04,73%,137.9,0.73,0.34,0.07,0.08,26%,13%
122,wippie,C9,"['cypher', 'killjoy', 'omen']",5716,1.07,200.2,1.08,74%,132.2,0.70,0.29,0.08,0.07,20%,14%
123,meL,SRG,"['raze', 'breach', 'viper']",8846,1.07,207.1,1.08,74%,132.1,0.72,0.34,0.11,0.10,27%,17%
124,iinoob,(+1),"['fade', 'sova', 'kayo']",732,1.07,201.1,1.04,73%,133.4,0.69,0.35,0.05,0.04,23%,17%
125,Ange,MU,"['cypher', 'reyna', 'sova']",11967,1.06,198.3,1.05,73%,128.3,0.69,0.35,0.07,0.07,24%,17%
126,ANDROID,OU,"['raze', 'phoenix', 'reyna']",4468,1.06,229.3,1.15,72%,148.2,0.80,0.21,0.12,0.10,28%,15%
127,bdog,YFP,"['omen', 'brimstone', 'astra']",9318,1.06,212.5,1.10,71%,136.2,0.76,0.25,0.13,0.12,24%,14%
128,brax,T1,"['cypher', 'killjoy', 'reyna']",1317,1.06,194.6,1.13,73%,133.3,0.70,0.21,0.07,0.07,32%,13%
129,Cade3k,TS,"['breach', 'raze', 'brimstone']",6887,1.06,202.4,1.06,74%,134.4,0.72,0.30,0.08,0.07,28%,16%
130,s0m,NRG,"['jett', 'raze', 'phoenix']",8231,1.06,214.2,1.10,74%,136.9,0.76,0.29,0.12,0.11,25%,17%
131,sonofcar,UST,"['raze', 'neon', 'jett']",6661,1.06,236.0,1.08,70%,155.6,0.82,0.21,0.20,0.18,24%,15%
132,toozy,QOR,"['astra', 'cypher', 'sage']",9113,1.06,194.4,1.02,75%,127.2,0.68,0.42,0.06,0.06,26%,16%
133,BlackHeart,MAD,"['brimstone', 'astra', 'sova']",5758,1.06,203.8,1.01,72%,135.8,0.70,0.35,0.07,0.06,26%,15%
134,Poseidon,Alli,"['fade', 'killjoy', 'cypher']",2148,1.06,207.5,1.03,70%,138.2,0.73,0.24,0.08,0.07,25%,13%
135,nabil,L11,"['raze', 'sage', 'cypher']",4300,1.06,225.3,1.06,72%,149.0,0.78,0.26,0.13,0.10,23%,12%
136,sharky,COL,"['reyna', 'sova', 'phoenix']",3392,1.06,206.7,1.00,74%,131.7,0.71,0.35,0.10,0.09,19%,15%
137,Temperature,DTL,"['omen', 'sova', 'skye']",5240,1.06,214.0,1.02,72%,142.7,0.74,0.33,0.08,0.08,27%,13%
138,Paincakes,SRB,"['brimstone', 'raze', 'omen']",10978,1.06,209.3,1.06,73%,134.6,0.74,0.29,0.10,0.09,28%,17%
139,ALEKSANDAR,CUR,"['reyna', 'raze', 'phoenix']",6454,1.06,211.3,1.07,71%,137.8,0.76,0.23,0.12,0.11,39%,14%
140,Esmé,YFPB,"['viper', 'astra', 'brimstone']",205,1.06,200.4,0.99,69%,136.0,0.72,0.26,0.06,0.07,27%,19%
141,pickles,VU.I,"['raze', 'jett', 'viper']",272,1.06,228.8,1.06,70%,144.4,0.81,0.18,0.16,0.15,22%,5%
142,hannah,DSG,"['killjoy', 'cypher', 'sage']",3305,1.06,205.7,1.07,72%,136.1,0.73,0.24,0.08,0.07,24%,13%
143,Jerrwin,SAD,"['jett', 'raze', 'chamber']",5306,1.06,241.4,1.08,70%,155.1,0.83,0.22,0.19,0.17,23%,14%
144,Shawn12590,NSIC,"['sova', 'breach', 'omen']",2038,1.06,209.9,1.07,76%,133.4,0.74,0.38,0.07,0.08,23%,16%
145,cryptX,FIU,"['skye', 'sage', 'killjoy']",928,1.06,195.3,0.99,73%,131.8,0.67,0.37,0.04,0.04,22%,10%
146,Boni,(+14),"['jett', 'breach', 'sova']",6830,1.06,232.8,1.06,70%,150.1,0.81,0.28,0.17,0.15,24%,18%
147,johnqt,SEN,"['jett', 'raze', 'chamber']",8502,1.06,190.7,1.10,76%,126.2,0.68,0.29,0.07,0.06,25%,16%
148,vora,TSM,"['sova', 'sage', 'breach']",3142,1.06,195.7,1.05,76%,131.5,0.68,0.33,0.06,0.06,27%,15%
149,Tacolilla,9ZG,"['jett', 'skye', 'chamber']",2325,1.06,214.7,1.12,71%,135.3,0.75,0.18,0.17,0.15,20%,16%
150,jcrueL,NBG,"['omen', 'jett', 'raze']",7818,1.06,215.1,1.08,70%,135.8,0.76,0.19,0.13,0.09,20%,14%
