,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
107,fooX,BD,"['sage', 'reyna', 'raze']",438,,198.9,1.01,,129.1,0.70,0.22,0.09,0.10,21%,14%
108,NowiS,AGM,"['phoenix', 'raze', 'skye']",347,,216.2,0.92,,135.1,0.74,0.20,0.10,0.15,19%,12%
109,mitiS,AGM,"['breach', 'omen', 'phoenix']",338,,183.5,0.85,,119.0,0.66,0.24,0.09,0.11,26%,14%
110,Doggo,Pro,"['breach', 'cypher', 'omen']",377,,196.3,0.82,,127.4,0.64,0.36,0.07,0.11,21%,7%
111,Sacy,SEN,"['sage', 'omen', 'sova']",504,,250.5,1.30,,161.8,0.88,0.29,0.09,0.08,25%,13%
112,BandiCoot,AB3,"['jett', 'raze', 'reyna']",340,,239.7,1.06,,148.4,0.81,0.18,0.17,0.19,23%,17%
113,NagZ,9ZG,['jett'],500,,247.9,1.32,,150.2,0.87,0.16,0.20,0.15,18%,26%
114,Pule,FVN,"['omen', 'breach', 'sage']",597,,177.5,0.93,,114.2,0.63,0.40,0.07,0.06,19%,15%
115,saadhak,KC,"['cypher', 'killjoy']",500,,224.7,1.11,,147.1,0.76,0.33,0.13,0.10,20%,12%
116,nzr,MIBR,"['sova', 'raze']",500,,242.4,1.35,,152.2,0.84,0.34,0.09,0.06,19%,21%
117,drago,100J,['cypher'],592,,173.3,0.90,,110.0,0.60,0.23,0.07,0.07,20%,10%
118,krain,OLP,"['reyna', 'sova', 'breach']",592,,205.0,1.27,,128.8,0.72,0.33,0.06,0.04,15%,14%
119,delevingne,SH,"['sage', 'jett', 'reyna']",592,,196.3,0.93,,125.0,0.68,0.21,0.14,0.17,16%,10%
120,Khalil,FUR,"['omen', 'cypher', 'sova']",480,,188.2,0.91,,120.2,0.64,0.26,0.08,0.06,17%,15%
121,fra,FRA,"['cypher', 'sova', 'killjoy']",456,,172.1,0.80,,108.5,0.60,0.20,0.07,0.10,21%,8%
122,Quick,LOS,"['jett', 'omen', 'cypher']",699,,221.8,0.98,,134.7,0.76,0.17,0.15,0.16,17%,10%
123,bezn1,RED,"['cypher', 'sova', 'sage']",410,,196.8,0.82,,130.3,0.63,0.31,0.07,0.11,22%,11%
124,bld,STE,"['sage', 'killjoy', 'cypher']",317,,192.8,0.87,,120.9,0.68,0.22,0.09,0.09,21%,3%
125,Bigas,oNe,"['phoenix', 'omen', 'sage']",349,,155.8,0.76,,103.9,0.56,0.20,0.07,0.09,23%,10%
126,deNaro,2G.AC,"['sova', 'brimstone', 'phoenix']",396,,205.7,1.03,,134.5,0.70,0.36,0.05,0.06,20%,29%
127,tiN,MeT,"['brimstone', 'omen', 'killjoy']",218,,132.3,0.48,,87.9,0.39,0.20,0.05,0.15,13%,12%
128,Eldogor,BM,"['brimstone', 'killjoy', 'breach']",514,,206.4,1.04,,131.8,0.72,0.26,0.09,0.07,16%,20%
129,Faithh,MeT,"['sage', 'breach', 'cypher']",218,,142.5,0.64,,89.4,0.50,0.31,0.04,0.09,22%,13%
130,DemiGod,MeT,"['omen', 'jett', 'reyna']",218,,198.5,0.93,,135.4,0.69,0.25,0.06,0.11,22%,12%
131,Smasher,MeT,"['raze', 'jett']",218,,202.4,0.86,,122.5,0.70,0.16,0.14,0.18,14%,7%
132,delusion,Meta,"['jett', 'cypher']",334,,208.8,1.05,,126.9,0.76,0.14,0.12,0.11,24%,18%
