,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
92,hiroronn,RC,"['viper', 'killjoy', 'cypher']",3028,0.97,189.6,0.98,70%,126.4,0.68,0.22,0.09,0.10,28%,15%
93,alois,SIB,"['kayo', 'reyna', 'raze']",369,0.97,209.2,0.90,67%,143.9,0.73,0.26,0.15,0.15,23%,15%
94,kAyle,DK,"['raze', 'jett', 'reyna']",566,0.97,217.2,0.95,67%,139.7,0.73,0.22,0.17,0.14,24%,19%
95,gatorada,SG,"['omen', 'brimstone', 'viper']",1100,0.97,179.1,0.89,73%,113.5,0.61,0.46,0.06,0.06,20%,15%
96,Bangnan,DK,"['raze', 'jett']",261,0.97,226.0,1.02,69%,148.4,0.78,0.15,0.20,0.15,30%,
97,Minty,RID,"['killjoy', 'sage', 'jett']",3357,0.97,189.9,0.96,72%,124.2,0.66,0.28,0.09,0.09,24%,13%
98,Ninnikumarin,MTR,"['killjoy', 'yoru', 'tejo']",359,0.97,205.8,0.97,66%,132.7,0.71,0.22,0.14,0.10,18%,21%
99,Dori,CYG,"['omen', 'astra', 'kayo']",417,0.97,183.5,0.91,71%,121.0,0.65,0.39,0.07,0.07,25%,10%
100,gyen,DFM,"['omen', 'clove', 'astra']",853,0.96,181.4,0.90,69%,119.7,0.63,0.30,0.08,0.10,33%,10%
101,yutaro,(+2),"['raze', 'cypher', 'astra']",226,0.96,186.3,0.99,72%,126.4,0.66,0.19,0.09,0.10,30%,17%
102,xnfri,VL,"['raze', 'viper', 'astra']",2362,0.96,187.4,0.92,70%,126.5,0.65,0.30,0.08,0.09,27%,16%
103,YOME,DRX.CH,"['viper', 'sova', 'breach']",425,0.96,198.1,0.87,72%,131.1,0.67,0.38,0.08,0.08,29%,17%
104,JoXJo,RID,"['breach', 'kayo', 'omen']",4330,0.96,181.6,0.92,72%,119.3,0.62,0.41,0.07,0.08,23%,17%
105,bazz,CGZ,"['breach', 'kayo', 'omen']",2283,0.96,200.7,0.93,71%,129.9,0.70,0.35,0.09,0.12,26%,15%
106,Mincho,RIG.L,"['kayo', 'sage', 'breach']",401,0.96,190.0,0.87,75%,125.1,0.64,0.52,0.07,0.08,20%,8%
107,MK,(+2),"['fade', 'chamber', 'killjoy']",289,0.96,207.6,0.96,62%,143.1,0.74,0.16,0.09,0.10,25%,8%
108,mystic,DFM,"['sova', 'sage', 'phoenix']",364,0.96,216.4,0.99,58%,140.3,0.74,0.27,0.09,0.09,28%,19%
109,MeatPieN,RC,"['omen', 'harbor', 'brimstone']",864,0.96,194.7,0.91,69%,126.3,0.69,0.34,0.08,0.08,29%,11%
110,Dualing,BCS,"['omen', 'skye', 'killjoy']",361,0.95,210.1,0.93,64%,137.7,0.75,0.18,0.16,0.17,25%,18%
111,Tonbo,MRSH,"['killjoy', 'cypher', 'sova']",1972,0.95,183.7,0.89,68%,123.2,0.65,0.25,0.07,0.06,27%,14%
112,Len,CYG,"['omen', 'viper', 'astra']",916,0.95,178.4,0.89,68%,114.3,0.62,0.37,0.08,0.07,22%,14%
113,Biju,MRSH,"['fade', 'kayo', 'breach']",1123,0.95,180.2,0.88,71%,120.9,0.64,0.34,0.08,0.07,25%,18%
114,Art,DFM,"['sova', 'omen', 'skye']",2353,0.95,196.2,0.92,71%,121.0,0.66,0.34,0.07,0.08,14%,13%
115,yuran,QTD,"['killjoy', 'cypher', 'astra']",1880,0.95,187.1,0.89,69%,126.8,0.65,0.32,0.08,0.10,26%,13%
116,KOHAL,ZETA.GC,"['breach', 'sage', 'kayo']",871,0.95,168.4,0.91,75%,110.2,0.60,0.49,0.06,0.06,26%,16%
117,citrous,HIT,"['breach', 'reyna', 'sage']",382,0.95,181.1,0.87,64%,114.1,0.63,0.32,0.06,0.09,23%,14%
118,Zodiac,(+3),"['jett', 'chamber', 'raze']",995,0.95,215.1,0.96,69%,144.1,0.74,0.21,0.17,0.18,21%,23%
119,HakuNa,RIG.L,"['killjoy', 'viper', 'cypher']",594,0.95,180.6,0.90,65%,123.2,0.62,0.20,0.06,0.07,25%,17%
120,Kippei,QTD,"['omen', 'brimstone', 'clove']",1201,0.94,180.6,0.88,72%,115.9,0.64,0.36,0.07,0.08,28%,20%
121,Ask,MRSH,"['breach', 'sage', 'skye']",1547,0.94,186.8,0.89,69%,123.8,0.64,0.27,0.06,0.07,26%,15%
122,Astell,DFM,"['astra', 'viper', 'killjoy']",1828,0.94,168.6,0.91,71%,111.2,0.59,0.31,0.06,0.08,23%,13%
